"","mesorregiao","log_emp_mulher","crimes_patrim","crimes_contra_pessoa","escolarid_trab","pib_per_capta","empregos_formais","infra_agua","infra_esgoto","infra_internet","infra_energia","st_agro","st_ind","st_serv","trafico","contrav_penais","eq_orc_mun","rec_proprios","ideb_quinto_ano","ideb_nono_ano","crimes_sex","remun_mediana","sebrae","msau39","mppm01","mppm11","mppm13","mppm20","mppm23"
"141","leste goiano",1.31002261864969,7.97,6.81,4.89,0.14,0.69,0,0,0.34,0.06,0.4,0.01,0.01,9.21,8.95,3.98,0.38,4.7,4,5.76,2.36,"Não","Sim","Não","Não","Não","Não","Não"
"142","norte goiano",2.51161076276247,8.23,5.21,5.19,0.39,0.97,6.96,0,2.96,4.35,0.14,0,0,9.36,4.08,4.59,1.61,7.4,5.7,4.74,1.48,"Não","Sim","Não","Não","Não","Não","Não"
"143","Sul goiano",1.64817874075053,7.06,7.68,5.03,1.94,1.97,3.41,0,0.51,1.45,0.6,0.01,0.01,9.21,6.87,4.66,1.49,5.1,5.2,8.7,1.79,"Não","Sim","Não","Não","Não","Não","Não"
"144","centro goiano",2.79422819128804,2.2,5.83,5.58,0.86,1.85,6.35,2.84,5.74,8.29,0.1,0.28,0.12,5.86,6.88,3.99,4.8,5.7,5,5.34,2.03,"Não","Sim","Não","Não","Não","Não","Não"
"145","centro goiano",2.50021331543326,5.42,5.12,5.52,0.51,1.66,7.18,0,2.77,5.83,0.16,0.03,0.02,4.62,8.4,3.55,1.23,5.9,5.5,6.02,1.8,"Não","Sim","Não","Não","Não","Não","Não"
"146","Sul goiano",2.09758262875049,8.29,8.2,1.19,1.86,1.48,4.17,0,0.85,4.17,0.65,0.04,0.01,9.47,8.08,3.58,2.15,5.9,4.6,10,1.86,"Não","Sim","Não","Não","Não","Não","Não"
"147","centro goiano",2.34199156137554,5.2,6.83,7.1,0.31,1.34,8.04,4.94,3.89,4.82,0.18,0.02,0.02,2.4,8.78,4.13,2.57,6.2,5.4,8.31,1.04,"Não","Sim","Não","Não","Não","Não","Não"
"148","centro goiano",2.0835077686011,8.98,5.42,6.24,0.43,1.46,6.34,0,0.44,4.36,0.07,0,0,10,7.79,3.96,0.36,5.5,5.9,7.8,1.83,"Não","Sim","Não","Não","Não","Não","Não"
"149","leste goiano",1.41548831764503,9.08,8.72,5.8,0.22,1.29,2.5,0,0.23,1.6,0.1,0,0,10,8.82,3.28,2.29,5.4,4.4,8.82,0.92,"Não","Sim","Sim","Não","Não","Não","Não"
"150","centro goiano",2.04466857492479,9.25,8.95,4.38,1.02,1.31,2.69,0.05,1.55,3.19,0.1,0.01,0,10,8.58,3.97,1.36,5.9,6.4,7.64,0.81,"Não","Sim","Não","Não","Não","Não","Não"
"151","centro goiano",1.89185334993419,7.97,6.71,3.67,0.33,1.22,6.03,0,1.46,3.86,0.11,0,0,10,5.03,3.62,0.83,6,5.4,7.4,0.27,"Não","Sim","Não","Não","Não","Não","Sim"
"152","centro goiano",2.47733694721782,4.28,7.41,3.88,2.05,3.03,3.79,0,4.64,5.35,0.49,0.22,0.12,6.35,8.02,3.99,4.13,5.1,4.5,8.32,2.01,"Não","Sim","Não","Não","Não","Não","Não"
"153","leste goiano",1.75622804084957,8.48,6.63,6.17,0.23,1.07,4.16,0,0.83,2.58,0.26,0.01,0.01,9.13,7.91,3.27,5.57,4.9,5,7.13,2.12,"Não","Sim","Sim","Não","Sim","Não","Não"
"154","Sul goiano",2.28786348116869,8.41,8.03,4.29,1.93,1.43,5.41,0,5.01,4.97,0.87,0.02,0.02,5.64,6.96,2.57,3.99,6.1,5.4,6.82,1.86,"Não","Sim","Não","Não","Não","Não","Não"
"155","centro goiano",1.61277681369962,8.99,8.44,7.64,0.77,1.52,5.01,0,0.78,3.58,0.21,0,0,10,8.34,4.35,0.11,7,5.8,10,1.35,"Não","Sim","Não","Não","Não","Não","Não"
"156","centro goiano",2.23804657185647,8.01,7.34,3.87,0.58,1.37,6.32,0,1.4,4.27,0.11,0,0,6.94,6.97,3.67,0.71,5.8,4.7,1.62,1.45,"Não","Sim","Não","Não","Não","Não","Não"
"157","centro goiano",2.62682476117962,7.28,6.88,6.97,0.36,1.37,7.89,0,1.36,5.93,0.09,0,0.01,10,7.3,3.53,1.71,6.6,5.4,8.97,0.92,"Não","Sim","Não","Não","Não","Não","Não"
"158","centro goiano",2.24972160343698,7.59,5.66,7.41,0.35,0.93,7.05,0,2.81,4.93,0.1,0,0.01,8.91,6.59,3.68,2.43,6.6,6,6.42,1,"Não","Sim","Não","Não","Não","Sim","Não"
"159","Sul goiano",2.59960679304196,7.69,5.95,2.88,0.94,2.36,6.22,0,4.16,4.1,0.33,0,0.01,3.31,8.2,3.56,3.09,5.9,5.1,10,1.25,"Não","Sim","Não","Não","Não","Não","Não"
"160","centro goiano",2.1467530033109,7.6,8.44,5.59,0.55,1.54,4.97,0,2.56,4.49,0.41,0.11,0.04,8.21,6,4.54,0.99,6,5.2,8.41,1.74,"Não","Sim","Não","Não","Sim","Não","Não"
"161","noroeste goiano",2.81392366881027,7.26,7.13,4.57,1.01,2.63,7.72,0,4.81,5.14,0.48,0.01,0.01,7.67,7.08,5.92,1.44,5,5.1,10,1.12,"Não","Sim","Não","Não","Não","Não","Não"
"162","centro goiano",2.35172779971706,7.65,5.97,8.65,0.5,1.62,6.48,7.13,2.92,4.72,0.59,0.04,0.06,7.65,5.65,2.72,3.77,6,5.3,7.8,0.63,"Não","Sim","Sim","Não","Sim","Não","Sim"
"163","Sul goiano",2.17170243338347,8.99,8.2,0.57,1.81,2.12,4.43,0,2.16,3.31,0.79,0.08,0.01,9.57,8.31,3.23,3.49,6.6,5.1,9.3,2.39,"Não","Sim","Não","Não","Não","Não","Não"
"164","centro goiano",2.2446790954166,7.76,8.69,4.82,0.48,1.46,5.83,6.31,2.85,3.58,0.12,0.03,0.02,9.01,8.58,1.99,3.92,7.6,5.2,9.46,1.03,"Não","Sim","Não","Não","Não","Não","Não"
"165","centro goiano",1.72878467006667,8.57,7.36,4.95,1.77,2,5.18,0,1.56,3.35,0.26,0.04,0,10,6.17,1.68,1.18,6.3,5.5,6.19,2.33,"Não","Sim","Não","Não","Não","Não","Não"
"166","centro goiano",2.32749598337353,8.12,8.63,5.49,0.54,1.67,7.61,0,2.17,4.82,0.12,0,0,8.02,8.04,4.05,0.61,6,5.9,10,0.96,"Não","Sim","Não","Não","Não","Não","Não"
"167","centro goiano",1.9748380692637,8.45,8.14,5.95,0.22,1.16,6.71,0,0.29,4.61,0.04,0,0,10,8.81,4.19,1.51,6.5,6.2,8.02,0.26,"Não","Sim","Não","Não","Não","Não","Não"
"168","Sul goiano",2.33444025923526,8.22,8.15,4.75,1.49,1.35,6.73,7.87,3.01,4.66,0.59,0.02,0.03,9.2,8.55,3.83,2.44,6.2,5.7,6.73,2.82,"Não","Não","Não","Não","Não","Não","Não"
"169","Sul goiano",2.56684003255069,7.61,4.94,5.4,1.32,2.62,9.44,9.72,4.86,5.38,0.1,0,0,10,6.02,4.1,1.1,7.3,5.7,6.7,2.72,"Não","Sim","Não","Não","Não","Não","Não"
"170","centro goiano",2.15899905418048,6.31,7.61,1.52,1.16,2.84,4.28,0,1.51,3.12,0.77,0.02,0.01,9.64,7.13,3.53,2.67,5.2,5.2,8.21,2.12,"Não","Sim","Não","Não","Não","Não","Não"
"171","Sul goiano",2.40996785403264,6.98,5.63,4.62,1.11,1.47,6.77,0,1.64,4.68,0.22,0,0,5.11,7.18,4.65,0.68,6,4.9,5.99,1.52,"Não","Sim","Não","Não","Não","Não","Não"
"172","leste goiano",2.04534209292041,9.19,7.03,6.5,0.14,0.79,4.32,0,0.37,2.83,0.02,0.01,0.01,10,8.21,4.47,1.03,5.1,4.9,8.22,1.34,"Não","Sim","Não","Não","Não","Não","Não"
"173","norte goiano",2.71730340658269,7.26,6.25,6.13,0.69,1.48,6.61,4.99,3.65,4.27,0.35,0.02,0.02,9.13,6.56,3.84,1.26,5.8,5.6,7.62,1.19,"Não","Sim","Não","Não","Não","Não","Não"
"174","Sul goiano",2.38923289971972,8.85,7.06,3.46,0.68,1.86,8.29,0,2.35,5.5,0.05,0,0,7.32,9.56,2.57,0.37,6.5,6.1,1.21,1.46,"Não","Sim","Não","Não","Não","Não","Não"
"175","noroeste goiano",2.21062687163543,9.09,7.53,2.88,1.01,1.87,3.46,0.02,1.23,3.51,0.31,0.01,0.01,8.68,7.38,3.72,1.95,5.2,5.1,7.83,1.86,"Não","Não","Não","Não","Não","Não","Não"
"176","Sul goiano",2.40994600939896,7.77,6.95,3.46,0.48,1.14,5.21,0,2.74,3.65,0.48,0.02,0.02,8.66,6.24,3,0.94,6.3,5.1,8.53,2.92,"Não","Sim","Não","Não","Não","Não","Não"
"177","leste goiano",1.78546354077124,8.59,9.02,2.69,0.55,2.13,3.44,4.22,0.18,2.28,0.15,0,0,10,9.64,4.02,1.62,4.8,3.7,6.39,1.73,"Não","Sim","Não","Não","Não","Não","Não"
"178","centro goiano",2.58035477014017,8.99,7.54,5.89,0.92,2.23,6.99,0,3.3,2.7,0.12,0,0,10,7.65,4.13,0.32,0,6.3,7.08,2,"Não","Sim","Não","Não","Não","Não","Não"
"179","norte goiano",1.69062214441454,8.74,7.57,5.54,0.16,0.74,2.33,0,0.49,1.35,0.22,0,0,7.89,8.26,4.11,0.53,4.6,4.3,6.53,0.81,"Não","Sim","Não","Não","Não","Não","Não"
