"","mesorregiao","log_emp_mulher","crimes_patrim","crimes_contra_pessoa","escolarid_trab","pib_per_capta","empregos_formais","infra_agua","infra_esgoto","infra_internet","infra_energia","st_agro","st_ind","st_serv","trafico","contrav_penais","eq_orc_mun","rec_proprios","ideb_quinto_ano","ideb_nono_ano","crimes_sex","remun_mediana","sebrae","msau39","mppm01","mppm11","mppm13","mppm20","mppm23"
"229","centro goiano",1.57921736979122,8.63,9.18,1.1,0.69,7.96,4.83,0,1.01,3.33,0.11,0,0,10,7.63,3.42,1.93,6.4,5.6,7.64,5.13,"Não","Sim","Não","Não","Não","Não","Não"
"230","centro goiano",2.30265182119897,3.71,6.69,5.83,1.82,2.3,3.33,0.06,6.36,5.96,0.07,1.73,0.47,7.33,8.82,3.2,3.79,5.6,4.2,7.34,2.09,"Não","Sim","Sim","Não","Sim","Não","Sim"
"231","Sul goiano",2.17271894576782,7.87,6.79,2.51,3.17,3.5,5.65,0,1.93,3.71,1.44,0.14,0.03,7.85,4.09,4.08,3.51,5.5,6,6.47,2.95,"Não","Sim","Não","Não","Não","Não","Não"
"232","leste goiano",2.2056951340302,8.11,4.87,8.19,0.41,1.14,5.14,0,1.11,3.32,0.06,0.01,0.01,7.41,4.3,3.72,2.27,5,5,9.29,1.12,"Não","Sim","Não","Não","Não","Não","Não"
"233","leste goiano",1.07239644653722,9.34,7.98,4.03,0.34,1.23,1.67,0,0.08,0.89,0.12,0,0,10,9.67,4.02,1.53,5.5,5.3,6.74,0.81,"Não","Sim","Não","Não","Não","Não","Não"
"234","centro goiano",2.5552874465498,6.61,7.33,5.39,0.58,2.18,8.06,0,3.36,5.84,0.13,0.01,0,10,7.03,3.32,2.11,6,5.6,7.31,0.42,"Não","Sim","Não","Não","Não","Não","Não"
"235","norte goiano",1.97445318828905,7.51,6.54,5.64,0.1,1.23,4.2,0,1.71,2.36,0.02,0,0,10,7.95,4.07,0.32,4.8,5,5.63,0.62,"Não","Sim","Não","Não","Não","Não","Não"
"236","centro goiano",2.38152399241743,3.63,4.17,7.54,1.2,1.81,5.39,5.49,3.63,4.73,0.05,0.05,0.03,6.87,8.06,3.57,1.32,5.4,4.5,4.85,1.79,"Não","Sim","Não","Não","Não","Não","Não"
"237","norte goiano",1.7900536079639,8.65,7.9,3.88,0.37,1.28,2.83,0,3,3.08,0.13,0,0,9.17,9.45,4.27,0.34,5.4,5.2,8.63,0.19,"Não","Sim","Não","Não","Não","Não","Não"
"238","Sul goiano",2.51309689740235,8.28,7.59,0.46,5.26,7.45,5.21,0,1.2,3.67,1.05,0.27,0.02,10,6.1,4.43,2.22,5.7,4.8,7.08,4.76,"Não","Sim","Não","Não","Não","Não","Não"
"239","noroeste goiano",1.91071407698304,9.33,9.51,5.86,0.52,1.38,4.95,0,1.42,2.22,0.14,0,0,10,9.34,2.02,0.18,5.3,4.8,8.35,2.14,"Não","Sim","Não","Não","Não","Não","Não"
"240","centro goiano",2.0100223489884,7.17,7.58,3.9,0.49,0.65,6.32,0.28,1.78,4.59,0.42,0.01,0.03,8.74,7.79,1.76,2.38,6.5,5.6,7.94,1.65,"Não","Sim","Não","Não","Não","Não","Sim"
"241","Sul goiano",2.34041283738501,6.19,5.4,7.7,1.36,3.98,8.17,0,4.82,5.62,0.36,0,0,8.11,1.29,4.08,1.7,6.5,5.3,8.45,3.02,"Não","Sim","Não","Não","Não","Não","Não"
"242","Sul goiano",1.95714418639007,7.17,6.67,1.8,0.54,1.44,5.26,0,1.36,3.76,0.17,0,0,9.23,8.47,3.47,2.16,5.3,5,6.2,1.72,"Não","Sim","Não","Não","Não","Não","Não"
"243","Sul goiano",2.30912819158298,8.22,7.72,2.18,2.42,3.28,4.38,0.01,1.57,4.26,1.16,0.06,0.03,8.22,9.41,3.28,3.19,6.7,5.8,10,4.39,"Não","Sim","Não","Não","Não","Não","Não"
"244","leste goiano",1.86745679306232,7.67,5.84,0.07,1.14,2,3.97,0,0.96,2.26,0.38,0.02,0.01,8.43,7.07,4.09,1.89,5,4.1,8.28,1.18,"Não","Sim","Não","Não","Não","Não","Não"
